種別	配置名	項	名称	分類	寸法	比	prompt
人物図版	telvanni-3	44	ハウス・テルヴァンニ／ヴァローナ	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, turned a quarter to the left. This is the face of a person in their forties. bare-headed, short cropped hair, wearing a studded leather jerkin. Holding a large iron key, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	orcstrongholds	45	オークの砦	VII 部族・辺境・その他	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A stronghold walled with timber and bone, with a single gate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	orcstrongholds-1	45	オークの砦／ラーカク	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, broad, heavy build, facing the viewer squarely. This is the face of a person in their fifties. bare-headed, hair gathered into a topknot, wearing a fur mantle over the shoulders. a scar across one cheek. Holding a war axe, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	orcstrongholds-2	45	オークの砦／ゴル	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, broad, heavy build, turned a quarter to the left. This is the face of a person in their forties. a plain iron helm, no visible hair, wearing a mail shirt. Aspect ratio 2:3 (portrait).
人物図版	orcstrongholds-3	45	オークの砦／ブルグク	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, broad, heavy build, turned in profile to the left. This is the face of a person in their fifties. bare-headed, hair gathered into a topknot, wearing a fur mantle over the shoulders. Holding a chalice, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	khajiitcaravans	46	キャジートのキャラバン	VII 部族・辺境・その他	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: Merchant tents pitched outside a city gate, the walls closed behind them. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	khajiitcaravans-1	46	キャジートのキャラバン／リ＝サード	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a feline-headed khajiit with upright ears, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a deep cloth hood, no visible hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
人物図版	khajiitcaravans-2	46	キャジートのキャラバン／アトゥーバ	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a feline-headed khajiit with upright ears, slight build, turned a quarter to the left. This is the face of a person in their forties. bare-headed, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	khajiitcaravans-3	46	キャジートのキャラバン／アカリ	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a feline-headed khajiit with upright ears, ordinary build, turned in profile to the left. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a studded leather jerkin. one ear missing. Aspect ratio 2:3 (portrait).
主図版	riekling	47	リークリング族	VII 部族・辺境・その他	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A snowfield settlement; hide tents banked up with heaped snow. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	riekling-1	47	リークリング族／族長	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, slight build, facing the viewer squarely. a horned iron helm, no visible hair, wearing a fur mantle over the shoulders. Holding a spear, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	riekling-2	47	リークリング族／斥候	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, slight build, turned a quarter to the left. bare-headed, hair gathered into a topknot, wearing a fur mantle over the shoulders. Aspect ratio 2:3 (portrait).
人物図版	riekling-3	47	リークリング族／外から来た者	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned in profile to the left. a plain iron helm, no visible hair, wearing a mail shirt. Holding a drinking horn, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	bandits	48	山賊諸派	VII 部族・辺境・その他	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A ruined fort beside a road, only its gate repaired. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	bandits-1	48	山賊諸派／砦の頭目	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, facing the viewer squarely. This is the face of a person in their forties. a plain iron helm, no visible hair, wearing a mail shirt. a scar across one cheek. Holding a bound ledger, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	bandits-2	48	山賊諸派／街道の見張り	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned a quarter to the left. This is the face of a person in their thirties. a deep cloth hood, no visible hair, wearing a studded leather jerkin. Holding a bow, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	bandits-3	48	山賊諸派／没落した農民	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, head slightly bowed. This is the face of a person in their fifties. bare-headed, short cropped hair, wearing a fur mantle over the shoulders. Aspect ratio 2:3 (portrait).
主図版	alduin	49	アルドゥインの竜群	VII 部族・辺境・その他	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A barrow seen from above, a winged shape in the sky over it. Night. The sky is worked up with dense hatching; the ground stays light. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	alduin-1	49	アルドゥインの竜群／アルドゥイン	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a reptilian argonian with a crested head, broad, heavy build, facing the viewer squarely. a horned iron helm, no visible hair, wearing a bare chest. Aspect ratio 2:3 (portrait).
人物図版	alduin-2	49	アルドゥインの竜群／オダハヴィーング	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a reptilian argonian with a crested head, broad, heavy build, turned a quarter to the left. a horned iron helm, no visible hair, wearing a bare chest. Aspect ratio 2:3 (portrait).
人物図版	alduin-3	49	アルドゥインの竜群／サーロクニル	VII 部族・辺境・その他	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a reptilian argonian with a crested head, ordinary build, turned in profile to the left. a horned iron helm, no visible hair, wearing a bare chest. a scar across one cheek. Aspect ratio 2:3 (portrait).
主図版	holdHaafingar	50	ソリチュード	VIII 領邦・宮廷	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A city built on top of a great natural stone arch, a ship passing beneath it, an ice-free harbour below. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	holdHaafingar-1	50	ソリチュード／エリシフ	VIII 領邦・宮廷	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, facing the viewer squarely. This is the face of a person in their twenties. a thin metal circlet, long hair falling past the shoulders, wearing a heavy wool robe. Holding a wax seal on a cord, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	holdHaafingar-2	50	ソリチュード／ファルク・ファイアビアード	VIII 領邦・宮廷	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person past seventy. bare-headed, long hair falling past the shoulders, wearing a heavy wool robe. Holding a bound ledger, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	holdHaafingar-3	50	ソリチュード／ボルガンヤ	VIII 領邦・宮廷	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, turned in profile to the left. This is the face of a person in their thirties. bare-headed, a single heavy braid, wearing plate armour over a gambeson. a scar across one cheek. Holding a straight sword held upright before the chest, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	holdEastmarch	51	ウィンドヘルム	VIII 領邦・宮廷	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A palace hall in a stone city; the lower courses of the city wall visibly the oldest masonry present. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	holdEastmarch-1	51	ウィンドヘルム／ウルフリック	VIII 領邦・宮廷	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, facing the viewer squarely. This is the face of a person in their forties. bare-headed, long hair falling past the shoulders, wearing a fur mantle over the shoulders. a scar across one cheek. Holding a war axe, small, at the lower edge. Aspect ratio 2:3 (portrait).
